Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Мобильные телефоны;;;;;;;;;;;;1;;;;;;;10;;;;;;;;;;;;;;;
!Смартфоны;;;;;;;;;;;;1;;;;;;;761;;;;;;;;;;;;;;;
!!Samsung;;;;;;;;;;;;1;;;;;;;5514;;;;;;;;;;;;;;;
!!!Galaxy A;;;;;;;;;;;;1;;;;;;;11319;;;;;;;;;;;;;;;
!!!!Galaxy A3;;;;;;;;;;;;1;;;;;;;7670;;;;;;;;;;;;;;;
!!!!!2015;;;;;;;;;;;;1;;;;;;;7671;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A3 2015 SM-A300F ЕСТ White;;;RUB;8990;1;0;0;0;;;;1;2015;;;;;;smartfon_samsung_galaxy_a3_2015_sm-a300f_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021724b.jpg
Смартфон Samsung Galaxy A3 2015 SM-A300F ЕСТ Black;;;RUB;8990;1;0;0;0;;;;1;2015;;;;;;smartfon_samsung_galaxy_a3_2015_sm-a300f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021725b.jpg
!!!!!2016;;;;;;;;;;;;1;;;;;;;7883;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A3 2016 SM-A310F Pink Gold;;;RUB;13990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a3_2016_sm-a310f_pink_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024250b.jpg
