IMEI или S/N	Наименование товара
*013267002020774	DCT Apple iPhone 4S 8Gb
*357997055347302	DCT noTouchID Apple iPhone 5S 16Gb Space Gray
*013052006004945	DCT Apple iPhone 4S 64Gb
*013006006071130	DCT Apple iPhone 4S 64Gb
*013042007441469	DCT Apple iPhone 4S 64Gb
*013034008306353	DCT Apple iPhone 4S 32Gb
*013534002202714	DCT Apple iPhone 4S 8Gb
*013034001739337	DCT Apple iPhone 4S 64Gb
*013538009669718	DCT Apple iPhone 4S 8Gb
*013537007032499	DCT Apple iPhone 4S 8Gb
*990002282684438	DCT Apple iPhone 5 64Gb
*013420002034572	DCT Apple iPhone 5 64Gb
*013181002585985	DCT Apple iPhone 4S 64Gb
*013666000393242	DCT Apple iPhone 4 8Gb
*013667007680573	DCT Apple iPhone 4 8Gb
*013721002239636	DCT Apple iPhone 5 64Gb
*013335000426275	DCT Apple iPhone 5 64Gb
*354428061383761	DCT Apple iPhone 6 128Gb
*01354000739637	DCT Apple iPhone 4S 8Gb
*013533008716032	DCT Apple iPhone 4S 8Gb
*013272004481479	DCT Apple iPhone 4 8Gb
*353321078797324	DCT Apple iPhone 6 128Gb
*013556002733315	DCT Apple iPhone 5 64Gb
*013666000260060	DCT Apple iPhone 4 8Gb
*013554008502263	DCT Apple iPhone 5 64Gb
*013172009437916	DCT Apple iPhone 4S 32Gb
*013667001618306	DCT Apple iPhone 4 8Gb
*35274506183923	DCT Samsung Galaxy S4 16Gb
*359544057295390	DCT Samsung Galaxy S4 16Gb
*358661059108370	DCT Samsung Galaxy S4 16Gb
*357139050435747	DCT Samsung Galaxy S4 16Gb
*353514063164555	DCT Samsung Galaxy S4 16Gb
*352745064456589	DCT Samsung Galaxy S4 16Gb
*352542000807854	DCT Samsung Galaxy S4 16Gb
*358904059419805	DCT Samsung Galaxy S4 16Gb
*359544055166783	DCT Samsung Galaxy S4 16Gb
*358661055423310	DCT Samsung Galaxy S4 16Gb
*355172053119481	DCT Samsung Galaxy S4 16Gb
*358661056319889	DCT Samsung Galaxy S4 16Gb
*355846061202401	ADT Samsung Galaxy S4 16Gb Black
*357445054010794	ADT Samsung Galaxy S4 16Gb White
*358804070987857	DCT Samsung Galaxy A5 (2016) 16Gb
*990004888436163	ADT Samsung Galaxy Note 4 32Gb Black
*359520060487802	ADT Samsung Galaxy S6 Edge 32Gb Black
*356164073116059	ADT Samsung Galaxy S7 Edge 32Gb Black
*990002860788478	ADT Apple iPhone 5 16Gb Black
*013424002800032	ADT Apple iPhone 5 16Gb White
*013139005755799	ADT Apple iPhone 4S 16Gb Black
*013047003054216	ADT Apple iPhone 4S 16Gb White
*355325070701760	ADT Samsung Galaxy S7 32Gb Black
*013203008612074	ADT Apple iPhone 4S 16Gb Black
