Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Смартфоны;;;;;;;;;;;;1;;;;;;;smartfon;;;;;;;;;;;;;;;
!Уценка;;;;;;;;;;;;1;;;;;;;smartfon_dct;;;;;;;;;;;;;;;
!!Apple iPhone;;;;;;;;;;;;1;;;;;;;smartfon_dct_apple_iphone;;;;;;;;;;;;;;;
!!!5S;;;;;;;;;;;;1;;;;;;;smartfon_dct_apple_iphone_5s;;;;;;;;;;;;;;;
!!!!16Gb;;;;;;;;;;;;1;;;;;;;smartfon_dct_apple_iphone_5s_16gb;;;;;;;;;;;;;;;
Apple iPhone 5S 16Gb Gold;Казань;;RUB;7500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4", разрешение 1136x640<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, Wi-Fi, Bluetooth, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>аккумулятор 1560 мА?ч<br>вес 112 г, ШxВxТ 58.60x123.80x7.60 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_5s_16gb_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/5S/Gold/img.jpg
Apple iPhone 5S 16Gb Silver;Казань;;RUB;7500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4", разрешение 1136x640<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, Wi-Fi, Bluetooth, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>аккумулятор 1560 мА?ч<br>вес 112 г, ШxВxТ 58.60x123.80x7.60 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_5s_16gb_silver;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/5S/Silver/img.jpg
Apple iPhone 5S 16Gb Space Gray;Казань;;RUB;7500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4", разрешение 1136x640<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, Wi-Fi, Bluetooth, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>аккумулятор 1560 мА?ч<br>вес 112 г, ШxВxТ 58.60x123.80x7.60 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_5s_16gb_space_gray;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/5S/SpaceGray/img.jpg
Apple iPhone 5S 16Gb Gold;Москва;;RUB;7500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4", разрешение 1136x640<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, Wi-Fi, Bluetooth, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>аккумулятор 1560 мА?ч<br>вес 112 г, ШxВxТ 58.60x123.80x7.60 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_5s_16gb_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/5S/Gold/img.jpg
Apple iPhone 5S 16Gb Silver;Москва;;RUB;7500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4", разрешение 1136x640<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, Wi-Fi, Bluetooth, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>аккумулятор 1560 мА?ч<br>вес 112 г, ШxВxТ 58.60x123.80x7.60 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_5s_16gb_silver;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/5S/Silver/img.jpg
