Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Мобильные телефоны;;;;;;;;;;;;1;;;;;;;10;;;;;;;;;;;;;;;
!Смартфоны;;;;;;;;;;;;1;;;;;;;761;;;;;;;;;;;;;;;
!!Samsung;;;;;;;;;;;;1;;;;;;;10482;;;;;;;;;;;;;;;
!!!Galaxy A;;;;;;;;;;;;1;;;;;;;10510;;;;;;;;;;;;;;;
!!!!A3 (2015);;;;;;;;;;;;1;;;;;;;10668;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A3 (2015) 8Gb Black (восстановлен);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;9205;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>cлот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2015);;;;;;14271;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2015)/Black/img.jpg
Смартфон Samsung Galaxy A3 (2015) 8Gb Black (восстановлен);cамовывоз Москва (курьерская доставка: +400₽);;RUB;8370;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>cлот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2015);;;;;;14271;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2015)/Black/img.jpg
Смартфон Samsung Galaxy A3 (2015) 8Gb White (восстановлен);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;9205;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>cлот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2015);;;;;;14272;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2015)/White/img.jpg
Смартфон Samsung Galaxy A3 (2015) 8Gb White (восстановлен);cамовывоз Москва (курьерская доставка: +400₽);;RUB;8370;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>cлот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2015);;;;;;14272;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2015)/White/img.jpg
Смартфон Samsung Galaxy A3 (2015) 8Gb Gold (восстановлен);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;9205;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>cлот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2015);;;;;;14273;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2015)/Gold/img.jpg
